id,Name,titleProject_id,class,score,login,password
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,YMN99mHh
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,oLW0nOj9
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,epatWaz7
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,jlfOR2PA
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,I0bOjclc
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,rSjpDIy4
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,D9dD4oU6
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,6xFiO4EA
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,YsTdYZwu
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,rEPFXrtF
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,lxBZdpvv
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,l9JHqY0g
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,P6H2FSNA
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,277VlqWz
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,ILoCZ4Gn
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,Bousy57O
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,ESiCVcdt
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,4cqxNMzH
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,DL0IiXqN
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,OmbZHWbn
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,X9GUDy9f
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,DWIYfxMY
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,TG4PC4FG
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,PkybBq5I
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,9xrnNInB
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,1SYSckx4
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,yvtZElqx
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,AXBS2i3Y
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,07uEp1d0
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,9jifLbr3
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,0aDcOXAa
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,BwVR2Hpn
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,HYZR77T4
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,pLLJWJba
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,GMtCFxc0
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,UFz1u0do
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,Ppo0ElP1
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,0twIXU3a
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,xv0p0MXW
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,gCYv5esp
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,vcynaj99
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,JQGCKRas
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,BlinweF9
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,OLY0yEM2
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,Q2lqtYHP
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,DKvkB7jq
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,YTm6uYu2
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,506K80GD
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,EhlFnHeR
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,c9by5nwV
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,yRHL0oiW
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,6Ot6M3qk
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,oZRSh0Pq
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,HNsZddMA
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,VwnxHCk8
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,3926R7mG
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,9rHYwoz9
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,B0p7atzu
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,lNScHzD7
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,9JucUDw0
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,vpH4EPjA
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,SpQOOJcz
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,EZOAp3Dh
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,AovHHRRd
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,ntZ8k4uw
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,WjWGDecp
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,rexi8Goc
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,eX7CKZwZ
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,xmgotxDa
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,maZNjnWZ
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,2D19lB1F
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,EOphyvzh
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,hxomNh8c
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,A1mynqXY
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,l0GsmNOx
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,87VnXyjF
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,A4So4bEP
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,I95ojaJH
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,2bHtVylk
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,IeZThBnY
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,jVid27IF
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,P8x1DYDg
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,avxHubOg
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,9D8X1cz9
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,TihHjBTc
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,sx9h3Eqj
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,cp8icy5x
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,7OiMhEHO
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,1NPxGfmP
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,VlZJcnCv
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,TMPcgXXk
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,IGxkGvIj
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,JRRppwRr
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,CUzWCqZ4
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,Gj6GrI26
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,N5FQmouX
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,doOabZYF
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,5T055tQA
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,j0Km9fJE
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,a54Bbed4
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,YkZH3Dku
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,Wz2Aseds
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,MsqNj0D1
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,zebzOYAA
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,109KZMLU
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,UYW3gwOf
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,m1D2dIjW
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,37MjvGb7
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,kbxvczAG
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,JxL9ynFH
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,RdkZp8aO
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,d4Am3IMQ
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,UajNo0jV
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,NLJW08IB
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,T9XUDSZK
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,DB8ltNSG
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,Plrl2EoL
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,30E2kc9e
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,Wx7aTlSd
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,iSag4tcT
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,lLee54GY
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,us8r8KBq
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,rwx0Hu70
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,s1d7Rgp3
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,FYpCH45x
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,byyNHDX4
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,2da8fxCd
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,FiTkuMWw
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,wHuBUGOt
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,6AVzPoBf
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,xEY6lEh2
278,Углова Галина Романовна,260,9г,3,Углова_ГР,panqQNH7
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,mdrGVR2b
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,4NXYCP1d
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,sNg0jqID
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,gsV0CJ1H
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,qlwr8ueE
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,O667r78l
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,oTA7m8fD
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,yMRjqE06
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,P38TdceJ
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,c418upzI
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,baftC9YY
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,IPVoOMJw
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,Rl42ob0w
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,p7yJ7U6h
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,lnvFTgcJ
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,ImBMfGxl
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,etORKbs0
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,tyLwKBFP
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,qAA5YiNL
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,Ng5FlgzL
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,hxgQpLkQ
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,D1rC54gC
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,Nq8PdENU
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,la0KO71g
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,5gzyZm4O
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,vzZmzQyY
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,KmzclJyy
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,CDYccdAj
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,Uiy1pzcB
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,1TJYfZXh
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,Bb7kubim
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,LkCA1SDG
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,EHhMn8bt
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,OC98AVIF
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,K5XF1D4N
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,CwqypaWR
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,8uuHkuHv
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,g5Dch9rV
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,02gI6QYB
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,6QYnbzQJ
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,4GuKaANJ
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,i0rBZI03
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,7ltIUMMC
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,OIhns8JU
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,fmUZWNT6
